phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Cardio,phecode_448,Peripheral vascular disease,"0.611 (0.598, 0.624)","0.622 (0.608, 0.633)","0.011 (0.001, 0.021)"
Signs/Symptoms,phecode_809-3,Pain in limb,"0.515 (0.511, 0.519)","0.526 (0.523, 0.53)","0.011 (0.008, 0.015)"
Genitourinary,phecode_624-1,Dystrophy of female genital tract,"0.522 (0.492, 0.549)","0.536 (0.51, 0.565)","0.011 (-0.015, 0.04)"
Resp,phecode_496,Abnormal results of pulmonary function studies,"0.56 (0.551, 0.571)","0.572 (0.561, 0.583)","0.011 (0.003, 0.021)"
Musc/Skel,phecode_713-4,Stiffness of joint,"0.516 (0.497, 0.541)","0.53 (0.51, 0.55)","0.012 (-0.013, 0.034)"
Musc/Skel,phecode_724,Other symptoms and disorders of the soft tissue,"0.546 (0.541, 0.551)","0.557 (0.552, 0.562)","0.012 (0.008, 0.016)"
Genitourinary,phecode_588-2,Abnormal results of function study of kidney,"0.667 (0.638, 0.703)","0.679 (0.649, 0.714)","0.012 (-0.006, 0.034)"
Endo,phecode_200-7,Iodine-deficiency related thyroid disorders*,"0.584 (0.559, 0.605)","0.594 (0.569, 0.614)","0.012 (-0.004, 0.026)"
Signs/Symptoms,phecode_801,Cough,"0.525 (0.521, 0.529)","0.537 (0.533, 0.541)","0.012 (0.008, 0.015)"
Musc/Skel,phecode_717,Other and unspecified dorsopathies,"0.561 (0.543, 0.576)","0.572 (0.556, 0.585)","0.012 (0.001, 0.021)"
Musc/Skel,phecode_716-3,Spinal disc displacement (herniation),"0.54 (0.528, 0.549)","0.55 (0.54, 0.562)","0.012 (0.002, 0.02)"
Neoplasms,phecode_103-1,Melanomas of skin,"0.603 (0.584, 0.621)","0.615 (0.596, 0.634)","0.012 (0.002, 0.023)"
Signs/Symptoms,phecode_809,Pain,"0.521 (0.516, 0.525)","0.533 (0.529, 0.537)","0.012 (0.009, 0.016)"
Endo,phecode_209-1,Pituitary hyperfunction,"0.617 (0.573, 0.66)","0.628 (0.583, 0.686)","0.012 (-0.025, 0.054)"
Resp,phecode_460-1,Acute upper respiratory infection,"0.525 (0.521, 0.531)","0.537 (0.533, 0.543)","0.012 (0.009, 0.015)"
Musc/Skel,phecode_708-14,"Primary osteoarthritis of the shoulder, upper arm","0.589 (0.575, 0.606)","0.6 (0.587, 0.617)","0.012 (0.002, 0.024)"
ID,phecode_084,Parasites,"0.556 (0.529, 0.588)","0.566 (0.538, 0.599)","0.012 (-0.006, 0.031)"
Musc/Skel,phecode_713-2,Effusion of joint,"0.577 (0.569, 0.586)","0.59 (0.58, 0.598)","0.012 (0.005, 0.019)"
Cardio,phecode_437,Vascular insufficiency of intestine,"0.672 (0.64, 0.697)","0.681 (0.656, 0.716)","0.012 (-0.01, 0.037)"
GI,phecode_520-13,Umbilical hernia,"0.622 (0.611, 0.636)","0.635 (0.622, 0.648)","0.012 (0.004, 0.023)"
Hearing,phecode_391-2,Eustachian tube disorders,"0.54 (0.531, 0.546)","0.552 (0.543, 0.559)","0.012 (0.007, 0.019)"
GI,phecode_554-1,Pancreatitis,"0.583 (0.554, 0.604)","0.595 (0.569, 0.613)","0.012 (-0.005, 0.031)"
Eye,phecode_389,Other disorders of eye,"0.554 (0.55, 0.56)","0.567 (0.561, 0.575)","0.013 (0.007, 0.017)"
Metab,phecode_256-5,Hypokalemia [Hypopotassemia],"0.638 (0.623, 0.656)","0.653 (0.637, 0.665)","0.013 (-0.001, 0.026)"
Neuro,phecode_336,Mononeuropathies,"0.541 (0.534, 0.547)","0.554 (0.547, 0.561)","0.013 (0.008, 0.019)"
Neuro,phecode_348,Other diseases of spinal cord,"0.56 (0.545, 0.581)","0.574 (0.554, 0.594)","0.013 (-0.005, 0.031)"
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,"0.444 (0.436, 0.453)","0.457 (0.449, 0.467)","0.013 (0.007, 0.02)"
Resp,phecode_488,Abnormalities of breathing,"0.566 (0.561, 0.571)","0.579 (0.574, 0.583)","0.013 (0.009, 0.017)"
Derm,phecode_668-2,Seborrheic dermatitis,"0.541 (0.529, 0.551)","0.555 (0.543, 0.565)","0.013 (0.004, 0.024)"
Neuro,phecode_327,Other degenerative diseases of nervous system,"0.689 (0.666, 0.711)","0.701 (0.681, 0.724)","0.013 (-0.007, 0.031)"
Resp,phecode_495,Abnormal findings on diagnostic imaging of lung,"0.643 (0.632, 0.654)","0.657 (0.643, 0.667)","0.013 (0.003, 0.022)"
Blood,phecode_174,Diseases of spleen,"0.583 (0.563, 0.611)","0.598 (0.573, 0.626)","0.013 (-0.009, 0.041)"
Resp,phecode_464-1,Acute nasopharyngitis,"0.521 (0.51, 0.532)","0.533 (0.522, 0.547)","0.013 (-0.001, 0.024)"
Cardio,phecode_425,Cardiomegaly,"0.668 (0.658, 0.681)","0.683 (0.672, 0.694)","0.014 (0.005, 0.023)"
Eye,phecode_383,Irregular eye movements,"0.556 (0.509, 0.597)","0.568 (0.522, 0.613)","0.014 (-0.025, 0.043)"
Neoplasms,phecode_138-2,Melanocytic nevi*,"0.516 (0.51, 0.523)","0.529 (0.523, 0.537)","0.014 (0.008, 0.019)"
Signs/Symptoms,phecode_809-1,Acute pain,"0.521 (0.477, 0.551)","0.532 (0.495, 0.566)","0.014 (-0.024, 0.046)"
Resp,phecode_468-9,Lobar pneumonia*,"0.674 (0.665, 0.683)","0.688 (0.678, 0.697)","0.014 (0.008, 0.021)"
Neuro,phecode_325-2,Abnormality of gait and mobility,"0.648 (0.639, 0.657)","0.662 (0.654, 0.672)","0.014 (0.006, 0.021)"
Resp,phecode_462-2,Chronic sinusitis,"0.54 (0.533, 0.545)","0.554 (0.546, 0.559)","0.014 (0.01, 0.018)"
Resp,phecode_468,Pneumonia,"0.665 (0.657, 0.674)","0.678 (0.67, 0.688)","0.014 (0.009, 0.019)"
Eye,phecode_366,Noninflammatory disorders of conjunctiva,"0.539 (0.513, 0.556)","0.552 (0.53, 0.569)","0.015 (-0.006, 0.034)"
Cardio,phecode_401,Hypertension,"0.626 (0.622, 0.63)","0.641 (0.637, 0.645)","0.015 (0.012, 0.018)"
Cardio,phecode_401-1,Essential hypertension,"0.626 (0.622, 0.63)","0.641 (0.637, 0.645)","0.015 (0.012, 0.018)"
Endo,phecode_204-1,Impaired fasting glucose,"0.582 (0.571, 0.594)","0.597 (0.582, 0.613)","0.015 (0.003, 0.024)"
Neuro,phecode_330-1,Epilepsy,"0.564 (0.541, 0.584)","0.579 (0.554, 0.6)","0.015 (-0.004, 0.033)"
Genitourinary,phecode_588,Disorders and findings from impaired renal function,"0.647 (0.617, 0.676)","0.662 (0.634, 0.693)","0.015 (-0.008, 0.04)"
Musc/Skel,phecode_718,Back pain,"0.517 (0.511, 0.521)","0.532 (0.528, 0.536)","0.015 (0.011, 0.02)"
ID,phecode_003,Escherichia coli,"0.599 (0.584, 0.611)","0.613 (0.6, 0.627)","0.015 (0.005, 0.03)"
Cardio,phecode_402,Elevated blood pressure reading without diagnosis of hypertension,"0.524 (0.514, 0.531)","0.539 (0.53, 0.547)","0.015 (0.008, 0.025)"
Derm,phecode_679-4,Pruritus,"0.552 (0.544, 0.559)","0.567 (0.561, 0.573)","0.015 (0.011, 0.021)"
Genitourinary,phecode_619-2,"Disorders of uterus, NEC","0.515 (0.491, 0.535)","0.531 (0.508, 0.55)","0.015 (-0.002, 0.032)"
Mental,phecode_280-82,Other psychoactive substance dependence,"0.54 (0.506, 0.604)","0.554 (0.52, 0.598)","0.015 (-0.035, 0.051)"
Signs/Symptoms,phecode_815,Symptoms and signs concerning food and fluid intake,"0.465 (0.443, 0.489)","0.48 (0.46, 0.505)","0.015 (-0.006, 0.034)"
Cardio,phecode_401-3,Hypertensive chronic kidney disease,"0.701 (0.666, 0.737)","0.716 (0.68, 0.756)","0.015 (-0.013, 0.041)"
Resp,phecode_484,Pneumothorax and air leak,"0.611 (0.579, 0.646)","0.625 (0.6, 0.656)","0.015 (-0.009, 0.039)"
Signs/Symptoms,phecode_807,Malaise and fatigue,"0.539 (0.534, 0.543)","0.554 (0.548, 0.56)","0.016 (0.011, 0.021)"
Derm,phecode_674,Disorders of pigmentation,"0.535 (0.524, 0.547)","0.55 (0.538, 0.562)","0.016 (0.006, 0.024)"
Resp,phecode_460,Acute respiratory infection,"0.514 (0.511, 0.517)","0.529 (0.525, 0.533)","0.016 (0.012, 0.019)"
GI,phecode_513-1,Esophageal ulcer,"0.597 (0.576, 0.617)","0.613 (0.595, 0.63)","0.016 (0.001, 0.033)"
ID,phecode_015,Clostridium,"0.594 (0.561, 0.626)","0.608 (0.576, 0.634)","0.016 (-0.015, 0.042)"
Musc/Skel,phecode_719-7,Muscle weakness (generalized),"0.537 (0.506, 0.568)","0.556 (0.525, 0.589)","0.016 (-0.014, 0.046)"
Resp,phecode_460-2,Acute lower respiratory infection,"0.543 (0.54, 0.548)","0.56 (0.556, 0.564)","0.016 (0.013, 0.019)"
Neoplasms,phecode_138,Benign neoplasm of the skin,"0.506 (0.501, 0.512)","0.522 (0.516, 0.529)","0.016 (0.011, 0.021)"
Neuro,phecode_341,Cerebral palsy and other paralytic syndromes,"0.645 (0.625, 0.661)","0.661 (0.636, 0.682)","0.017 (0.001, 0.034)"
Eye,phecode_386,Visual disturbances,"0.585 (0.576, 0.595)","0.601 (0.593, 0.61)","0.017 (0.01, 0.024)"
GI,phecode_517,Gastrointestinal angiodysplasia,"0.675 (0.641, 0.714)","0.691 (0.658, 0.725)","0.017 (-0.008, 0.041)"
Genitourinary,phecode_585,Kidney stone disease,"0.589 (0.579, 0.602)","0.607 (0.596, 0.618)","0.017 (0.009, 0.026)"
Musc/Skel,phecode_719,Disorders of muscle,"0.563 (0.556, 0.573)","0.58 (0.57, 0.588)","0.017 (0.007, 0.023)"
GI,phecode_524,Functional intestinal disorder,"0.579 (0.57, 0.589)","0.597 (0.585, 0.607)","0.017 (0.011, 0.025)"
Blood,phecode_168-1,Hypo-coagulability,"0.591 (0.567, 0.61)","0.607 (0.586, 0.623)","0.017 (0.002, 0.029)"
Genitourinary,phecode_582,Acute kidney failure,"0.703 (0.695, 0.712)","0.72 (0.712, 0.727)","0.017 (0.009, 0.024)"
Blood,phecode_160-2,Megaloblastic anemia,"0.62 (0.6, 0.644)","0.635 (0.618, 0.657)","0.017 (0.003, 0.028)"
GI,phecode_513-2,Gastric ulcer,"0.584 (0.568, 0.599)","0.601 (0.589, 0.617)","0.017 (0.003, 0.031)"
Signs/Symptoms,phecode_841-3,Allergy to narcotic agent,"0.606 (0.59, 0.621)","0.624 (0.609, 0.639)","0.018 (0.009, 0.028)"
Musc/Skel,phecode_709-22,Hallux rigidus,"0.556 (0.533, 0.577)","0.573 (0.549, 0.601)","0.018 (0.002, 0.033)"
Musc/Skel,phecode_723-1,Adhesive capsulitis of shoulder,"0.536 (0.524, 0.55)","0.553 (0.542, 0.564)","0.018 (0.007, 0.026)"
Eye,phecode_375-12,Angle-Closure Glaucoma,"0.665 (0.638, 0.69)","0.68 (0.659, 0.708)","0.018 (-0.002, 0.037)"
Mental,phecode_284-29,Intentional self-harm*,"0.571 (0.543, 0.596)","0.589 (0.554, 0.615)","0.018 (-0.015, 0.053)"
Derm,phecode_660-6,Cellulitis and abscess,"0.537 (0.531, 0.543)","0.555 (0.551, 0.561)","0.018 (0.014, 0.024)"
GI,phecode_515,Heartburn and epigastric pain,"0.546 (0.537, 0.556)","0.565 (0.556, 0.573)","0.018 (0.012, 0.026)"
GI,phecode_554-11,Acute pancreatitis,"0.57 (0.541, 0.598)","0.587 (0.562, 0.615)","0.018 (-0.009, 0.037)"
Eye,phecode_376-21,Crystalline deposits in vitreous body,"0.587 (0.575, 0.607)","0.607 (0.593, 0.625)","0.018 (0.005, 0.032)"
Derm,phecode_666,Urticaria,"0.548 (0.536, 0.561)","0.566 (0.556, 0.578)","0.018 (0.009, 0.025)"
Neuro,phecode_341-2,Hemiplegia and hemiparesis,"0.664 (0.642, 0.682)","0.68 (0.663, 0.701)","0.018 (-0.001, 0.032)"
Musc/Skel,phecode_733-6,Temporomandibular joint disorders,"0.588 (0.571, 0.602)","0.606 (0.59, 0.618)","0.018 (0.008, 0.027)"
ID,phecode_056,Human papillomavirus,"0.493 (0.485, 0.502)","0.511 (0.504, 0.52)","0.018 (0.009, 0.03)"
Mental,phecode_284-2,Suicide and self-inflicted harm,"0.573 (0.543, 0.607)","0.592 (0.556, 0.627)","0.018 (-0.013, 0.052)"
Neoplasms,phecode_102,Malignant neoplasm of the thoracic and respiratory organs,"0.675 (0.663, 0.688)","0.693 (0.681, 0.708)","0.019 (0.007, 0.029)"
Cardio,phecode_417-2,Tachycardia,"0.584 (0.569, 0.599)","0.601 (0.59, 0.614)","0.019 (0.003, 0.032)"
Musc/Skel,phecode_733,"Dentofacial anomalies, including malocclusion","0.587 (0.574, 0.602)","0.606 (0.594, 0.619)","0.019 (0.009, 0.029)"
Metab,phecode_234,Other nutritional deficiencies,"0.371 (0.36, 0.379)","0.39 (0.38, 0.4)","0.019 (0.008, 0.029)"
Metab,phecode_239-2,Hyperglyceridemia,"0.523 (0.497, 0.555)","0.541 (0.516, 0.563)","0.019 (-0.011, 0.047)"
Endo,phecode_215,Testicular dysfunction,"0.345 (0.305, 0.39)","0.366 (0.331, 0.403)","0.019 (-0.021, 0.053)"
Endo,phecode_200-9,Abnormal thyroid function studies,"0.594 (0.567, 0.616)","0.613 (0.589, 0.638)","0.019 (0.008, 0.036)"
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,"0.559 (0.541, 0.581)","0.577 (0.557, 0.598)","0.02 (0.003, 0.035)"
Musc/Skel,phecode_719-1,Cramp and spasm,"0.576 (0.568, 0.588)","0.597 (0.586, 0.606)","0.02 (0.009, 0.026)"
Derm,phecode_668-1,Atopic dermatitis,"0.492 (0.482, 0.504)","0.511 (0.5, 0.526)","0.02 (0.008, 0.028)"
Mental,phecode_280-8,Other psychoactive substance related disorders,"0.562 (0.526, 0.594)","0.582 (0.551, 0.618)","0.02 (-0.009, 0.053)"
Derm,phecode_685,Disorders of sweat glands,"0.543 (0.531, 0.553)","0.563 (0.552, 0.575)","0.02 (0.011, 0.03)"
Cardio,phecode_433-1,Occlusion and stenosis of cerebral arteries,"0.709 (0.688, 0.732)","0.728 (0.71, 0.752)","0.02 (0, 0.039)"
Eye,phecode_374-38,Retinal vein occlusions,"0.662 (0.645, 0.683)","0.683 (0.665, 0.705)","0.02 (0.005, 0.039)"
Musc/Skel,phecode_718-4,Low back pain,"0.512 (0.508, 0.516)","0.532 (0.527, 0.537)","0.02 (0.014, 0.025)"
Neuro,phecode_351-3,Paresthesia of skin*,"0.483 (0.474, 0.494)","0.503 (0.494, 0.512)","0.02 (0.01, 0.032)"
Musc/Skel,phecode_706,Other inflammatory spondylopathies,"0.555 (0.538, 0.572)","0.574 (0.557, 0.59)","0.02 (0.004, 0.035)"
Derm,phecode_684,Diseases of hair and hair follicles,"0.683 (0.672, 0.692)","0.703 (0.694, 0.713)","0.02 (0.01, 0.03)"
Eye,phecode_361,Disorders of eyelid function,"0.64 (0.627, 0.657)","0.659 (0.645, 0.677)","0.02 (0.007, 0.028)"
Endo,phecode_200-4,Thyroiditis,"0.596 (0.554, 0.637)","0.615 (0.568, 0.655)","0.021 (-0.03, 0.053)"
Musc/Skel,phecode_707-8,Polyarthritis,"0.431 (0.41, 0.454)","0.454 (0.429, 0.476)","0.021 (0.008, 0.038)"
Resp,phecode_486-5,Abnormal sputum,"0.523 (0.515, 0.529)","0.543 (0.538, 0.551)","0.021 (0.015, 0.028)"
Musc/Skel,phecode_733-62,Arthralgia of temporomandibular joint,"0.599 (0.578, 0.627)","0.621 (0.595, 0.649)","0.021 (0.005, 0.04)"
Neoplasms,phecode_139-61,Hemangioma,"0.476 (0.458, 0.497)","0.498 (0.479, 0.518)","0.021 (0.001, 0.044)"
ID,phecode_054,Hepatovirus,"0.543 (0.51, 0.587)","0.565 (0.526, 0.615)","0.021 (-0.013, 0.052)"
Cardio,phecode_448-9,Peripheral vascular disease NOS [includes PAD],"0.73 (0.712, 0.745)","0.752 (0.735, 0.765)","0.021 (0.009, 0.035)"
Derm,phecode_679-3,Changes in skin texture,"0.543 (0.523, 0.558)","0.561 (0.547, 0.579)","0.021 (0.003, 0.035)"
ID,phecode_089-1,Bacterial infections,"0.551 (0.544, 0.559)","0.572 (0.565, 0.578)","0.021 (0.014, 0.028)"
Neuro,phecode_324-34,Torticollis,"0.53 (0.514, 0.548)","0.553 (0.535, 0.567)","0.021 (0.003, 0.039)"
Genitourinary,phecode_614-54,Abscess or ulceration of vulva,"0.435 (0.388, 0.475)","0.453 (0.405, 0.49)","0.022 (-0.041, 0.07)"
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,"0.481 (0.463, 0.505)","0.503 (0.483, 0.524)","0.022 (-0.001, 0.043)"
Derm,phecode_686-1,Pressure ulcer,"0.718 (0.708, 0.736)","0.743 (0.728, 0.757)","0.022 (0.01, 0.033)"
Resp,phecode_471-5,Nasal polyps,"0.556 (0.537, 0.578)","0.578 (0.557, 0.6)","0.022 (0.009, 0.033)"
Mental,phecode_308-5,Nervousness,"0.52 (0.495, 0.556)","0.545 (0.508, 0.571)","0.022 (-0.011, 0.048)"
GI,phecode_545,Nonspecific abnormal results of function study of liver,"0.531 (0.522, 0.541)","0.553 (0.54, 0.563)","0.022 (0.012, 0.031)"
Eye,phecode_375-6,Ocular hypertension,"0.579 (0.566, 0.595)","0.601 (0.586, 0.616)","0.022 (0.01, 0.033)"
Derm,phecode_664,Papulosquamous disorders,"0.527 (0.51, 0.543)","0.549 (0.53, 0.569)","0.022 (0.009, 0.032)"
Musc/Skel,phecode_722,Fasciopathy,"0.506 (0.501, 0.515)","0.529 (0.523, 0.534)","0.022 (0.016, 0.028)"
Mental,phecode_283-8,Other problems related to lifestyle,"0.496 (0.491, 0.5)","0.518 (0.513, 0.523)","0.022 (0.017, 0.028)"
Neuro,phecode_348-2,Myelopathies,"0.546 (0.528, 0.566)","0.567 (0.545, 0.591)","0.022 (0.001, 0.041)"
Neuro,phecode_329-9,Delirium,"0.748 (0.73, 0.763)","0.769 (0.753, 0.786)","0.022 (0.008, 0.035)"
Neuro,phecode_336-55,Lesion of plantar nerve,"0.595 (0.582, 0.609)","0.619 (0.605, 0.633)","0.023 (0.011, 0.034)"
Eye,phecode_376,Disorders of vitreous body,"0.606 (0.598, 0.614)","0.629 (0.619, 0.636)","0.023 (0.016, 0.03)"
Signs/Symptoms,phecode_810,Shock,"0.721 (0.687, 0.759)","0.743 (0.718, 0.775)","0.023 (-0.004, 0.049)"
Mental,phecode_308-7,Restlessness and agitation*,"0.553 (0.511, 0.588)","0.576 (0.541, 0.607)","0.023 (-0.016, 0.059)"
Resp,phecode_475,Asthma,"0.519 (0.511, 0.525)","0.541 (0.533, 0.552)","0.023 (0.015, 0.034)"
Musc/Skel,phecode_710-4,Acquired deformities of the ankle and foot,"0.555 (0.539, 0.574)","0.577 (0.563, 0.596)","0.023 (0.009, 0.038)"
Derm,phecode_686,Chronic ulcer of skin,"0.694 (0.684, 0.708)","0.718 (0.71, 0.729)","0.023 (0.016, 0.033)"
Metab,phecode_257,Polydipsia,"0.522 (0.497, 0.552)","0.544 (0.509, 0.567)","0.023 (-0.014, 0.051)"
GI,phecode_555,Ascites,"0.638 (0.615, 0.66)","0.659 (0.64, 0.68)","0.023 (0.009, 0.04)"
Blood,phecode_164-2,Macrocytic anemia,"0.613 (0.595, 0.636)","0.639 (0.617, 0.658)","0.024 (0.008, 0.036)"
Eye,phecode_376-2,Vitreous opacities,"0.605 (0.598, 0.611)","0.628 (0.619, 0.636)","0.024 (0.017, 0.03)"
Neuro,phecode_336-1,Carpal tunnel syndrome,"0.538 (0.53, 0.546)","0.561 (0.553, 0.569)","0.024 (0.015, 0.033)"
Derm,phecode_680-1,Corns and callosities,"0.555 (0.54, 0.57)","0.578 (0.567, 0.596)","0.024 (0.012, 0.04)"
Resp,phecode_479-3,Respiratory failure,"0.67 (0.647, 0.693)","0.695 (0.673, 0.72)","0.024 (0.006, 0.043)"
Derm,phecode_664-1,"Lichen planus, nitidus, or striatus","0.559 (0.536, 0.578)","0.582 (0.563, 0.599)","0.024 (0.01, 0.039)"
Genitourinary,phecode_580,Glomerular diseases,"0.624 (0.597, 0.647)","0.647 (0.616, 0.669)","0.025 (0.004, 0.047)"
Resp,phecode_487-3,Hemoptysis,"0.582 (0.566, 0.599)","0.608 (0.593, 0.624)","0.025 (0.014, 0.039)"
Neuro,phecode_355-2,Alteration of consciousness,"0.621 (0.599, 0.638)","0.644 (0.622, 0.665)","0.025 (0.004, 0.041)"
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],"0.528 (0.517, 0.542)","0.554 (0.542, 0.565)","0.025 (0.012, 0.038)"
Metab,phecode_232-29,Folate deficiency [Vitamin B9],"0.715 (0.68, 0.748)","0.742 (0.714, 0.768)","0.025 (0.004, 0.052)"
Derm,phecode_666-2,Idiopathic urticaria,"0.537 (0.504, 0.579)","0.56 (0.513, 0.601)","0.025 (-0.028, 0.064)"
ID,phecode_061,Influenza virus,"0.55 (0.532, 0.57)","0.575 (0.554, 0.593)","0.025 (0.006, 0.046)"
GI,phecode_522-12,Ulcerative colitis,"0.503 (0.474, 0.534)","0.529 (0.502, 0.558)","0.025 (0, 0.061)"
Signs/Symptoms,phecode_800-2,Precordial pain,"0.505 (0.491, 0.518)","0.53 (0.518, 0.544)","0.025 (0.012, 0.041)"
Neoplasms,phecode_100,Malignant neoplasm of the head and neck,"0.609 (0.572, 0.639)","0.635 (0.609, 0.661)","0.025 (0.004, 0.051)"
Eye,phecode_374-52,"Macular cyst, hole, or pseudohole","0.649 (0.622, 0.675)","0.675 (0.652, 0.7)","0.026 (0.008, 0.044)"
GI,phecode_535,Intestinal or peritoneal adhesions,"0.548 (0.533, 0.564)","0.575 (0.56, 0.587)","0.026 (0.011, 0.042)"
Signs/Symptoms,phecode_800,Chest pain,"0.508 (0.503, 0.513)","0.534 (0.528, 0.538)","0.026 (0.021, 0.031)"
GI,phecode_550-2,Cholecystitis,"0.535 (0.52, 0.548)","0.559 (0.535, 0.573)","0.026 (-0.001, 0.044)"
Neuro,phecode_330-12,Partial epilepsy,"0.589 (0.558, 0.631)","0.615 (0.571, 0.651)","0.026 (-0.01, 0.061)"
Genitourinary,phecode_596-5,Neuromuscular dysfunction of bladder,"0.553 (0.518, 0.587)","0.581 (0.545, 0.62)","0.026 (-0.002, 0.056)"
Neuro,phecode_335,Nerve root and plexus disorders,"0.515 (0.502, 0.528)","0.539 (0.526, 0.552)","0.026 (0.012, 0.038)"
Eye,phecode_374-3,Retinal vascular changes and occlusions,"0.668 (0.65, 0.681)","0.694 (0.673, 0.708)","0.026 (0.015, 0.036)"
GI,phecode_525-3,Disorders of intestinal carbohydrate absorption,"0.472 (0.422, 0.506)","0.5 (0.457, 0.545)","0.026 (-0.007, 0.068)"
Neoplasms,phecode_102-1,Malignant neoplasm of the of bronchus and lung,"0.679 (0.661, 0.696)","0.706 (0.69, 0.727)","0.026 (0.013, 0.04)"
Blood,phecode_170-19,Neutropenia NOS,"0.56 (0.54, 0.582)","0.587 (0.563, 0.621)","0.026 (0.001, 0.055)"
GI,phecode_540-3,Viral hepatitits,"0.535 (0.5, 0.576)","0.562 (0.522, 0.598)","0.026 (-0.003, 0.06)"
Resp,phecode_486,Other respiratory disorders,"0.526 (0.521, 0.532)","0.553 (0.546, 0.558)","0.026 (0.022, 0.031)"
Signs/Symptoms,phecode_840-8,Allergies related to other diseases/symptoms,"0.513 (0.506, 0.521)","0.54 (0.532, 0.548)","0.026 (0.019, 0.034)"
Mental,phecode_281-1,Substance abuse,"0.603 (0.592, 0.617)","0.629 (0.619, 0.643)","0.026 (0.016, 0.035)"
GI,phecode_537,Abnormality of the peritoneum,"0.537 (0.519, 0.558)","0.564 (0.544, 0.588)","0.026 (0.005, 0.053)"
Neuro,phecode_344-1,Hydrocephalus,"0.617 (0.577, 0.662)","0.642 (0.61, 0.676)","0.027 (-0.021, 0.058)"
Hearing,phecode_391-11,Acute otitis media,"0.462 (0.437, 0.492)","0.493 (0.464, 0.524)","0.027 (-0.004, 0.056)"
Mental,phecode_280,Substance related disorders,"0.561 (0.552, 0.567)","0.588 (0.581, 0.597)","0.027 (0.021, 0.033)"
Metab,phecode_232-27,Vitamin B12 deficiency,"0.553 (0.526, 0.575)","0.579 (0.555, 0.603)","0.027 (-0.002, 0.047)"
Derm,phecode_684-1,Alopecia,"0.672 (0.664, 0.682)","0.7 (0.687, 0.711)","0.027 (0.015, 0.038)"
Metab,phecode_256-6,Fluid overload,"0.72 (0.703, 0.744)","0.748 (0.728, 0.767)","0.027 (0.009, 0.044)"
Neuro,phecode_337,Polyneuropathies,"0.596 (0.583, 0.608)","0.623 (0.611, 0.635)","0.027 (0.015, 0.037)"
GI,phecode_524-1,Irritable bowel syndrome,"0.577 (0.564, 0.594)","0.604 (0.593, 0.619)","0.027 (0.02, 0.037)"
Mental,phecode_280-1,Alcohol use disorders,"0.562 (0.554, 0.573)","0.59 (0.582, 0.599)","0.027 (0.019, 0.035)"
GI,phecode_509-3,Hypertrophy of tongue papillae,"0.522 (0.482, 0.554)","0.548 (0.515, 0.592)","0.027 (0.002, 0.058)"
GI,phecode_559,"Other disease of digestive system, NOS","0.518 (0.495, 0.547)","0.545 (0.518, 0.568)","0.027 (0, 0.048)"
Neuro,phecode_334-2,Facial nerve disorders and weakness,"0.524 (0.5, 0.547)","0.552 (0.521, 0.571)","0.028 (0.002, 0.056)"
Signs/Symptoms,phecode_804,Other symptoms and signs involving the circulatory and respiratory system,"0.51 (0.504, 0.516)","0.538 (0.532, 0.544)","0.028 (0.022, 0.034)"
Eye,phecode_360-12,Hordeolum internum,"0.53 (0.495, 0.562)","0.557 (0.525, 0.578)","0.028 (-0.002, 0.052)"
Metab,phecode_239-12,Familial hypercholesterolemia*,"0.579 (0.556, 0.606)","0.608 (0.583, 0.635)","0.028 (0.009, 0.052)"
GI,phecode_526-2,Viral enteritis,"0.552 (0.52, 0.583)","0.577 (0.551, 0.617)","0.028 (-0.001, 0.059)"
Metab,phecode_251,Disorders of bilirubin excretion,"0.586 (0.561, 0.618)","0.616 (0.59, 0.646)","0.029 (0.014, 0.048)"
Eye,phecode_375-14,Low-tension glaucoma (Normal-tension glaucoma),"0.682 (0.655, 0.711)","0.71 (0.674, 0.744)","0.029 (0.001, 0.054)"
Eye,phecode_375,Abnormal intraocular pressure,"0.62 (0.612, 0.628)","0.648 (0.641, 0.655)","0.029 (0.023, 0.036)"
Rx,phecode_977-41,Long term (current) use of inhaled steroids*,"0.526 (0.504, 0.551)","0.554 (0.534, 0.576)","0.029 (0.009, 0.046)"
Musc/Skel,phecode_731,Symptoms involving musculoskeletal systems,"0.481 (0.47, 0.494)","0.51 (0.499, 0.523)","0.029 (0.015, 0.039)"
Resp,phecode_468-2,Bacterial pneumonia,"0.612 (0.586, 0.632)","0.643 (0.622, 0.662)","0.029 (0.007, 0.057)"
Metab,phecode_247-3,Disorder of phosphorus metabolism,"0.63 (0.599, 0.654)","0.656 (0.624, 0.687)","0.029 (-0.005, 0.053)"
Eye,phecode_375-113,Primary open angle glaucoma,"0.661 (0.635, 0.686)","0.691 (0.669, 0.714)","0.03 (0.009, 0.046)"
Neuro,phecode_356-1,Dysarthria,"0.643 (0.601, 0.686)","0.672 (0.635, 0.716)","0.03 (-0.008, 0.084)"
