phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Resp,phecode_468-9,Lobar pneumonia*,"0.679 (0.669, 0.689)","0.699 (0.688, 0.709)","0.02 (0.012, 0.028)",,,,+,NA,+|NA
GI,phecode_522-12,Ulcerative colitis,"0.534 (0.503, 0.555)","0.553 (0.526, 0.58)","0.02 (0, 0.042)",,,,ns,NA,ns|NA
GI,phecode_554,Diseases of the pancreas,"0.593 (0.575, 0.612)","0.612 (0.592, 0.633)","0.02 (0.003, 0.034)",,,,+,NA,+|NA
Neuro,phecode_336-55,Lesion of plantar nerve,"0.606 (0.579, 0.638)","0.629 (0.599, 0.65)","0.021 (-0.008, 0.045)",,,,ns,NA,ns|NA
Resp,phecode_468-1,Viral pneumonia,"0.637 (0.607, 0.666)","0.656 (0.626, 0.695)","0.021 (-0.016, 0.067)",,,,ns,NA,ns|NA
Eye,phecode_361-4,Blepharochalasis,"0.612 (0.567, 0.648)","0.63 (0.595, 0.668)","0.021 (-0.008, 0.05)",,,,ns,NA,ns|NA
Neoplasms,phecode_149-3,Benign neoplasm of the parathyroid gland,"0.626 (0.592, 0.656)","0.649 (0.607, 0.676)","0.021 (-0.004, 0.047)",,,,ns,NA,ns|NA
Neuro,phecode_348-2,Myelopathies,"0.61 (0.58, 0.642)","0.629 (0.603, 0.66)","0.021 (-0.012, 0.052)",,,,ns,NA,ns|NA
Genitourinary,phecode_627-1,Postmenopausal bleeding,"0.425 (0.406, 0.441)","0.445 (0.426, 0.46)","0.021 (0.008, 0.036)",,,,+,NA,+|NA
ID,phecode_003,Escherichia coli,"0.628 (0.616, 0.644)","0.651 (0.637, 0.663)","0.022 (0.011, 0.036)",,,,+,NA,+|NA
Eye,phecode_386-4,Visual field defects,"0.646 (0.601, 0.689)","0.668 (0.622, 0.718)","0.022 (-0.023, 0.056)",,,,ns,NA,ns|NA
Cardio,phecode_402,Elevated blood pressure reading without diagnosis of hypertension,"0.577 (0.554, 0.602)","0.599 (0.572, 0.628)","0.022 (0.004, 0.043)",,,,+,NA,+|NA
Genitourinary,phecode_603-5,Orchitis and epididymitis,"0.434 (0.381, 0.475)","0.463 (0.423, 0.502)","0.022 (-0.02, 0.088)",,,,ns,NA,ns|NA
Neuro,phecode_341-2,Hemiplegia and hemiparesis,"0.673 (0.648, 0.697)","0.695 (0.673, 0.719)","0.022 (0.003, 0.039)",,,,+,NA,+|NA
Eye,phecode_361-3,Ptosis of eyelid,"0.657 (0.633, 0.681)","0.68 (0.656, 0.701)","0.023 (0.004, 0.045)",,,,+,NA,+|NA
Resp,phecode_463-1,Chronic rhinitis,"0.541 (0.486, 0.581)","0.56 (0.516, 0.609)","0.023 (-0.017, 0.064)",,,,ns,NA,ns|NA
Derm,phecode_665-2,Psoriatic arthropathy,"0.506 (0.443, 0.542)","0.53 (0.485, 0.566)","0.024 (-0.019, 0.068)",,,,ns,NA,ns|NA
Mental,phecode_283,Other behavioral problems,"0.549 (0.537, 0.56)","0.573 (0.564, 0.585)","0.024 (0.014, 0.034)",,,,+,NA,+|NA
Hearing,phecode_391,Disorders of the middle ear,"0.524 (0.499, 0.549)","0.547 (0.524, 0.573)","0.024 (-0.009, 0.051)",,,,ns,NA,ns|NA
Resp,phecode_491,Pleurisy,"0.687 (0.66, 0.721)","0.712 (0.69, 0.737)","0.024 (0.01, 0.037)",,,,+,NA,+|NA
Metab,phecode_247-5,Disorders of calcium metabolism,"0.64 (0.618, 0.663)","0.667 (0.642, 0.69)","0.024 (0.004, 0.044)",,,,+,NA,+|NA
GI,phecode_557-8,Hemorrhage of rectum and anus,"0.472 (0.458, 0.484)","0.496 (0.477, 0.51)","0.025 (0.007, 0.038)",,,,+,NA,+|NA
Signs/Symptoms,phecode_801,Cough,"0.561 (0.542, 0.575)","0.586 (0.567, 0.598)","0.025 (0.007, 0.043)",,,,+,NA,+|NA
Neuro,phecode_350-5,Repeated falls*,"0.734 (0.725, 0.744)","0.757 (0.748, 0.769)","0.025 (0.016, 0.031)",,,,+,NA,+|NA
Cardio,phecode_433-1,Occlusion and stenosis of cerebral arteries,"0.722 (0.701, 0.746)","0.748 (0.722, 0.77)","0.025 (0.008, 0.044)",,,,+,NA,+|NA
Neuro,phecode_331-8,Headache NOS,"0.558 (0.544, 0.57)","0.582 (0.568, 0.597)","0.025 (0.015, 0.037)",,,,+,NA,+|NA
Eye,phecode_387-3,Astigmatism,"0.674 (0.661, 0.688)","0.7 (0.685, 0.713)","0.025 (0.014, 0.036)",,,,+,NA,+|NA
Musc/Skel,phecode_716,Intervertebral disc disorder,"0.551 (0.538, 0.565)","0.577 (0.565, 0.588)","0.026 (0.013, 0.036)",,,,+,NA,+|NA
GI,phecode_550-2,Cholecystitis,"0.559 (0.535, 0.585)","0.586 (0.562, 0.614)","0.026 (0.002, 0.056)",,,,+,NA,+|NA
Cardio,phecode_411-2,Pericardial effusion (noninflammatory)*,"0.652 (0.618, 0.677)","0.674 (0.647, 0.704)","0.026 (0.003, 0.039)",,,,+,NA,+|NA
Signs/Symptoms,phecode_809,Pain,"0.579 (0.567, 0.59)","0.606 (0.593, 0.615)","0.026 (0.016, 0.037)",,,,+,NA,+|NA
Eye,phecode_369-4,Corneal degenerations,"0.73 (0.707, 0.751)","0.758 (0.737, 0.78)","0.026 (0.006, 0.046)",,,,+,NA,+|NA
Derm,phecode_667,Erythematous conditions,"0.576 (0.525, 0.616)","0.597 (0.553, 0.647)","0.026 (-0.022, 0.069)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_809-3,Pain in limb,"0.565 (0.55, 0.579)","0.59 (0.578, 0.607)","0.027 (0.015, 0.037)",,,,+,NA,+|NA
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],"0.561 (0.533, 0.59)","0.589 (0.559, 0.622)","0.027 (-0.005, 0.069)",,,,ns,NA,ns|NA
Resp,phecode_488-1,Dyspnea [Shortness of breath],"0.606 (0.595, 0.618)","0.633 (0.623, 0.643)","0.027 (0.017, 0.037)",,,,+,NA,+|NA
Derm,phecode_679,Skin symptoms,"0.572 (0.556, 0.59)","0.598 (0.583, 0.617)","0.027 (0.01, 0.047)",,,,+,NA,+|NA
Resp,phecode_462-2,Chronic sinusitis,"0.531 (0.509, 0.551)","0.558 (0.534, 0.585)","0.027 (0.005, 0.053)",,,,+,NA,+|NA
Neuro,phecode_347,Other disorders of the brain and CNS,"0.58 (0.535, 0.621)","0.607 (0.573, 0.639)","0.028 (-0.004, 0.065)",,,,ns,NA,ns|NA
Metab,phecode_247-4,Disorders of magnesium metabolism,"0.661 (0.633, 0.689)","0.687 (0.658, 0.712)","0.028 (0.006, 0.042)",,,,+,NA,+|NA
Cardio,phecode_417-2,Tachycardia,"0.585 (0.566, 0.602)","0.613 (0.593, 0.63)","0.028 (0.008, 0.038)",,,,+,NA,+|NA
Cardio,phecode_401-3,Hypertensive chronic kidney disease,"0.703 (0.672, 0.745)","0.731 (0.696, 0.759)","0.028 (-0.005, 0.053)",,,,ns,NA,ns|NA
Metab,phecode_232-4,Vitamin D deficiency,"0.6 (0.58, 0.621)","0.629 (0.612, 0.648)","0.028 (0.013, 0.043)",,,,+,NA,+|NA
Musc/Skel,phecode_718-2,Cervicalgia,"0.604 (0.578, 0.633)","0.634 (0.608, 0.662)","0.028 (0.009, 0.053)",,,,+,NA,+|NA
Blood,phecode_164-2,Macrocytic anemia,"0.649 (0.622, 0.674)","0.679 (0.647, 0.706)","0.028 (0.006, 0.052)",,,,+,NA,+|NA
Derm,phecode_665,Psoriasis,"0.581 (0.559, 0.6)","0.609 (0.588, 0.631)","0.029 (0.009, 0.051)",,,,+,NA,+|NA
Musc/Skel,phecode_718-1,Radiculopathy,"0.557 (0.533, 0.579)","0.586 (0.561, 0.615)","0.029 (0.005, 0.055)",,,,+,NA,+|NA
Musc/Skel,phecode_713-3,Pain in joint,"0.581 (0.569, 0.596)","0.61 (0.597, 0.624)","0.029 (0.018, 0.036)",,,,+,NA,+|NA
Hearing,phecode_395,Other diseases of inner ear,"0.526 (0.499, 0.574)","0.556 (0.519, 0.598)","0.029 (-0.008, 0.056)",,,,ns,NA,ns|NA
GI,phecode_555,Ascites,"0.637 (0.611, 0.657)","0.665 (0.642, 0.692)","0.029 (0.012, 0.049)",,,,+,NA,+|NA
Eye,phecode_377,Hemorrhage of the eye,"0.588 (0.557, 0.629)","0.616 (0.577, 0.672)","0.029 (-0.038, 0.094)",,,,ns,NA,ns|NA
Metab,phecode_256-4,Hyperkalemia [Hyperpotassemia],"0.698 (0.68, 0.714)","0.725 (0.709, 0.747)","0.029 (0.013, 0.046)",,,,+,NA,+|NA
Stat,phecode_979,Transplated organ,"0.563 (0.531, 0.591)","0.594 (0.556, 0.631)","0.029 (-0.011, 0.077)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_807,Malaise and fatigue,"0.591 (0.571, 0.61)","0.622 (0.606, 0.641)","0.03 (0.019, 0.043)",,,,+,NA,+|NA
Mental,phecode_284,Suicide ideation and attempt or self harm,"0.561 (0.53, 0.595)","0.594 (0.56, 0.635)","0.03 (-0.008, 0.068)",,,,ns,NA,ns|NA
Cardio,phecode_448-9,Peripheral vascular disease NOS [includes PAD],"0.755 (0.74, 0.771)","0.785 (0.767, 0.798)","0.03 (0.014, 0.046)",,,,+,NA,+|NA
Neoplasms,phecode_138-2,Melanocytic nevi*,"0.513 (0.489, 0.539)","0.548 (0.526, 0.566)","0.03 (0.013, 0.061)",,,,+,NA,+|NA
GI,phecode_535,Intestinal or peritoneal adhesions,"0.552 (0.534, 0.564)","0.582 (0.565, 0.597)","0.03 (0.018, 0.044)",,,,+,NA,+|NA
Metab,phecode_256-6,Fluid overload,"0.723 (0.699, 0.741)","0.752 (0.731, 0.774)","0.03 (0.011, 0.046)",,,,+,NA,+|NA
ID,phecode_096,Contact or exposure to infectious agent,"0.596 (0.497, 0.701)","0.627 (0.507, 0.734)","0.031 (-0.07, 0.137)",,,,ns,NA,ns|NA
Resp,phecode_468-2,Bacterial pneumonia,"0.643 (0.617, 0.669)","0.672 (0.647, 0.714)","0.031 (0.011, 0.056)",,,,+,NA,+|NA
Musc/Skel,phecode_721-5,Bursitis,"0.499 (0.481, 0.52)","0.533 (0.51, 0.55)","0.031 (0.012, 0.058)",,,,+,NA,+|NA
Derm,phecode_679-1,Rash and other nonspecific skin eruption,"0.59 (0.564, 0.609)","0.621 (0.601, 0.64)","0.031 (0.014, 0.05)",,,,+,NA,+|NA
GI,phecode_525-1,Celiac disease,"0.522 (0.496, 0.549)","0.552 (0.521, 0.576)","0.031 (0.002, 0.053)",,,,+,NA,+|NA
Genitourinary,phecode_580,Glomerular diseases,"0.659 (0.633, 0.689)","0.69 (0.661, 0.719)","0.031 (0.011, 0.052)",,,,+,NA,+|NA
Blood,phecode_177-2,Enlargement of lymph nodes [Lymphadenopathy],"0.58 (0.565, 0.597)","0.612 (0.593, 0.634)","0.031 (0.014, 0.046)",,,,+,NA,+|NA
Resp,phecode_465-1,Acute Pharyngitis,"0.467 (0.434, 0.504)","0.5 (0.457, 0.534)","0.031 (-0.013, 0.061)",,,,ns,NA,ns|NA
Metab,phecode_232,Vitamin deficiencies,"0.608 (0.595, 0.625)","0.64 (0.627, 0.652)","0.032 (0.021, 0.043)",,,,+,NA,+|NA
Musc/Skel,phecode_707-8,Polyarthritis,"0.421 (0.389, 0.453)","0.454 (0.423, 0.484)","0.032 (0.014, 0.047)",,,,+,NA,+|NA
GI,phecode_508,Diseases of lips,"0.49 (0.435, 0.53)","0.521 (0.465, 0.561)","0.032 (-0.006, 0.072)",,,,ns,NA,ns|NA
GI,phecode_526-1,Bacterial enteritis,"0.567 (0.539, 0.585)","0.594 (0.574, 0.614)","0.032 (0.013, 0.051)",,,,+,NA,+|NA
Cardio,phecode_443-1,Stricture of artery [Arterial stenosis],"0.72 (0.688, 0.757)","0.752 (0.726, 0.787)","0.032 (-0.002, 0.062)",,,,ns,NA,ns|NA
GI,phecode_526-2,Viral enteritis,"0.568 (0.544, 0.613)","0.602 (0.571, 0.633)","0.033 (-0.002, 0.071)",,,,ns,NA,ns|NA
Mental,phecode_299,"Mental disorder, not otherwise specified","0.631 (0.587, 0.665)","0.663 (0.631, 0.695)","0.033 (-0.002, 0.064)",,,,ns,NA,ns|NA
Musc/Skel,phecode_723,Enthesopathy/Enthesitis/Tendinopathy,"0.506 (0.491, 0.517)","0.539 (0.527, 0.55)","0.033 (0.021, 0.045)",,,,+,NA,+|NA
Metab,phecode_232-2,Vitamin B group deficiency,"0.628 (0.607, 0.649)","0.663 (0.649, 0.683)","0.033 (0.02, 0.05)",,,,+,NA,+|NA
Blood,phecode_177,Abnormality of the lymph nodes,"0.588 (0.576, 0.601)","0.621 (0.608, 0.635)","0.033 (0.021, 0.045)",,,,+,NA,+|NA
GI,phecode_520-13,Umbilical hernia,"0.638 (0.617, 0.656)","0.67 (0.656, 0.688)","0.034 (0.021, 0.045)",,,,+,NA,+|NA
Musc/Skel,phecode_702-3,Enteropathic arthropathies,"0.497 (0.458, 0.532)","0.532 (0.499, 0.562)","0.034 (-0.006, 0.081)",,,,ns,NA,ns|NA
ID,phecode_004,Streptococcus,"0.593 (0.571, 0.615)","0.627 (0.606, 0.649)","0.034 (0.016, 0.056)",,,,+,NA,+|NA
Cardio,phecode_443,Other specified disorders of arteries and arterioles,"0.698 (0.678, 0.73)","0.735 (0.709, 0.763)","0.034 (0.009, 0.059)",,,,+,NA,+|NA
Resp,phecode_462,Sinusitis,"0.519 (0.498, 0.541)","0.552 (0.528, 0.579)","0.034 (0.008, 0.059)",,,,+,NA,+|NA
GI,phecode_524-1,Irritable bowel syndrome,"0.567 (0.556, 0.579)","0.602 (0.589, 0.613)","0.035 (0.028, 0.043)",,,,+,NA,+|NA
Mental,phecode_284-29,Intentional self-harm*,"0.554 (0.524, 0.598)","0.593 (0.56, 0.625)","0.035 (-0.003, 0.075)",,,,ns,NA,ns|NA
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,"0.67 (0.632, 0.702)","0.708 (0.666, 0.744)","0.035 (0.012, 0.071)",,,,+,NA,+|NA
Derm,phecode_682-1,Cutaneous cyst,"0.455 (0.43, 0.476)","0.49 (0.468, 0.507)","0.036 (0.015, 0.062)",,,,+,NA,+|NA
Musc/Skel,phecode_724-1,Myalgia,"0.61 (0.592, 0.632)","0.647 (0.627, 0.667)","0.037 (0.025, 0.047)",,,,+,NA,+|NA
Eye,phecode_386,Visual disturbances,"0.591 (0.573, 0.608)","0.626 (0.609, 0.645)","0.037 (0.02, 0.048)",,,,+,NA,+|NA
Signs/Symptoms,phecode_835,Cytology and pathology findings,"0.44 (0.406, 0.492)","0.474 (0.428, 0.521)","0.037 (-0.006, 0.076)",,,,ns,NA,ns|NA
ID,phecode_002,Staphylococcus,"0.629 (0.617, 0.652)","0.668 (0.652, 0.686)","0.038 (0.021, 0.051)",,,,+,NA,+|NA
GI,phecode_557-1,Hematemesis,"0.629 (0.605, 0.654)","0.666 (0.642, 0.688)","0.038 (0.014, 0.06)",,,,+,NA,+|NA
Metab,phecode_256-3,Mixed disorder of acid-base balance,"0.657 (0.636, 0.68)","0.694 (0.676, 0.714)","0.038 (0.018, 0.055)",,,,+,NA,+|NA
Neuro,phecode_326-1,Multiple sclerosis,"0.568 (0.528, 0.604)","0.608 (0.566, 0.64)","0.039 (0.016, 0.069)",,,,+,NA,+|NA
Genitourinary,phecode_614-5,"Inflammatory disease of cervix, vagina, and vulva","0.439 (0.397, 0.478)","0.479 (0.431, 0.518)","0.039 (0.009, 0.077)",,,,+,NA,+|NA
GI,phecode_537,Abnormality of the peritoneum,"0.539 (0.511, 0.569)","0.576 (0.546, 0.603)","0.039 (-0.002, 0.064)",,,,ns,NA,ns|NA
Neuro,phecode_355,Coma and other alteration of consciousness,"0.597 (0.563, 0.625)","0.634 (0.596, 0.666)","0.039 (0.009, 0.073)",,,,+,NA,+|NA
Neoplasms,phecode_102,Malignant neoplasm of the thoracic and respiratory organs,"0.674 (0.659, 0.686)","0.713 (0.699, 0.725)","0.039 (0.027, 0.049)",,,,+,NA,+|NA
Metab,phecode_247-3,Disorder of phosphorus metabolism,"0.631 (0.603, 0.653)","0.67 (0.644, 0.701)","0.04 (0.014, 0.065)",,,,+,NA,+|NA
Neuro,phecode_344-1,Hydrocephalus,"0.631 (0.588, 0.666)","0.667 (0.626, 0.709)","0.04 (-0.006, 0.084)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_800-2,Precordial pain,"0.509 (0.496, 0.522)","0.549 (0.535, 0.564)","0.04 (0.024, 0.056)",,,,+,NA,+|NA
Neoplasms,phecode_104,Malignant sarcoma-related cancers,"0.52 (0.487, 0.55)","0.559 (0.524, 0.593)","0.04 (0.009, 0.07)",,,,+,NA,+|NA
GI,phecode_502,Other diseases of teeth and supporting structures,"0.489 (0.47, 0.508)","0.532 (0.511, 0.552)","0.041 (0.021, 0.063)",,,,+,NA,+|NA
Eye,phecode_374-5,Macular degeneration,"0.742 (0.73, 0.754)","0.785 (0.772, 0.793)","0.041 (0.033, 0.05)",,,,+,NA,+|NA
Resp,phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified","0.582 (0.552, 0.608)","0.62 (0.6, 0.656)","0.041 (0, 0.068)",,,,ns,NA,ns|NA
Blood,phecode_168-2,Hyper-coagulability,"0.514 (0.477, 0.557)","0.557 (0.52, 0.605)","0.042 (0.01, 0.083)",,,,+,NA,+|NA
GI,phecode_540,Hepatitis,"0.546 (0.513, 0.576)","0.588 (0.552, 0.622)","0.042 (0.011, 0.066)",,,,+,NA,+|NA
Musc/Skel,phecode_713-2,Effusion of joint,"0.577 (0.551, 0.609)","0.619 (0.594, 0.653)","0.043 (0.015, 0.071)",,,,+,NA,+|NA
Metab,phecode_256-31,Acidosis,"0.655 (0.632, 0.675)","0.696 (0.676, 0.716)","0.043 (0.02, 0.064)",,,,+,NA,+|NA
ID,phecode_002-1,Staphylococcus aureus,"0.617 (0.589, 0.642)","0.66 (0.635, 0.687)","0.044 (0.022, 0.061)",,,,+,NA,+|NA
Mental,phecode_284-2,Suicide and self-inflicted harm,"0.554 (0.525, 0.593)","0.598 (0.565, 0.631)","0.044 (0.001, 0.083)",,,,+,NA,+|NA
Mental,phecode_308,Signs and symptoms involving emotional state,"0.562 (0.53, 0.592)","0.605 (0.582, 0.63)","0.044 (0.01, 0.076)",,,,+,NA,+|NA
ID,phecode_052-3,Varicella zoster virus,"0.545 (0.508, 0.587)","0.591 (0.542, 0.636)","0.044 (-0.003, 0.083)",,,,ns,NA,ns|NA
Musc/Skel,phecode_723-6,Impingement syndrome of shoulder*,"0.48 (0.466, 0.501)","0.523 (0.51, 0.542)","0.044 (0.028, 0.062)",,,,+,NA,+|NA
Derm,phecode_674-2,Hypepigmentation,"0.492 (0.444, 0.545)","0.535 (0.501, 0.58)","0.045 (-0.011, 0.1)",,,,ns,NA,ns|NA
GI,phecode_542-4,Portal hypertension,"0.631 (0.597, 0.664)","0.676 (0.623, 0.717)","0.045 (0.005, 0.082)",,,,+,NA,+|NA
Neuro,phecode_344,Disorders of the circulation of the cerebrospinal fluid,"0.553 (0.516, 0.587)","0.597 (0.562, 0.633)","0.045 (0.009, 0.083)",,,,+,NA,+|NA
Genitourinary,phecode_619-2,"Disorders of uterus, NEC","0.412 (0.383, 0.43)","0.458 (0.428, 0.479)","0.046 (0.024, 0.068)",,,,+,NA,+|NA
Derm,phecode_682-12,Pilar and trichodermal cyst,"0.453 (0.434, 0.477)","0.501 (0.478, 0.526)","0.046 (0.022, 0.074)",,,,+,NA,+|NA
Resp,phecode_495,Abnormal findings on diagnostic imaging of lung,"0.63 (0.611, 0.649)","0.679 (0.658, 0.694)","0.047 (0.033, 0.066)",,,,+,NA,+|NA
Eye,phecode_367,Inflammation of the eye,"0.592 (0.571, 0.617)","0.639 (0.613, 0.663)","0.048 (0.014, 0.067)",,,,+,NA,+|NA
Resp,phecode_487-3,Hemoptysis,"0.582 (0.554, 0.604)","0.624 (0.6, 0.653)","0.048 (0.022, 0.068)",,,,+,NA,+|NA
Eye,phecode_375-1,Glaucoma,"0.708 (0.697, 0.72)","0.757 (0.746, 0.77)","0.048 (0.039, 0.058)",,,,+,NA,+|NA
Neoplasms,phecode_102-1,Malignant neoplasm of the of bronchus and lung,"0.676 (0.663, 0.692)","0.724 (0.711, 0.738)","0.049 (0.036, 0.06)",,,,+,NA,+|NA
Neuro,phecode_330-1,Epilepsy,"0.541 (0.522, 0.564)","0.591 (0.57, 0.612)","0.049 (0.026, 0.069)",,,,+,NA,+|NA
Musc/Skel,phecode_718-5,Sciatica,"0.591 (0.568, 0.618)","0.639 (0.616, 0.661)","0.049 (0.029, 0.07)",,,,+,NA,+|NA
GI,phecode_542-3,Hepatic failure,"0.643 (0.611, 0.677)","0.696 (0.66, 0.727)","0.049 (0.015, 0.079)",,,,+,NA,+|NA
ID,phecode_059,Coronavirus,"0.644 (0.599, 0.683)","0.69 (0.651, 0.732)","0.05 (0.008, 0.086)",,,,+,NA,+|NA
Neuro,phecode_324-4,Tremor,"0.647 (0.616, 0.672)","0.693 (0.669, 0.721)","0.051 (0.028, 0.08)",,,,+,NA,+|NA
ID,phecode_052-32,Herpes zoster,"0.554 (0.51, 0.596)","0.604 (0.566, 0.653)","0.052 (0.004, 0.093)",,,,+,NA,+|NA
Derm,phecode_682,Other follicular disorders,"0.456 (0.439, 0.473)","0.507 (0.486, 0.523)","0.052 (0.03, 0.071)",,,,+,NA,+|NA
Metab,phecode_248,"Disorders of plasma-protein metabolism, NEC","0.617 (0.582, 0.66)","0.67 (0.617, 0.716)","0.052 (0.012, 0.085)",,,,+,NA,+|NA
Musc/Skel,phecode_718-4,Low back pain,"0.533 (0.512, 0.548)","0.585 (0.565, 0.597)","0.053 (0.038, 0.071)",,,,+,NA,+|NA
Mental,phecode_280-1,Alcohol use disorders,"0.622 (0.605, 0.635)","0.675 (0.658, 0.688)","0.053 (0.04, 0.064)",,,,+,NA,+|NA
ID,phecode_098,Carrier or suspected carrier of infectious diseases,"0.559 (0.538, 0.583)","0.61 (0.586, 0.637)","0.054 (0.029, 0.076)",,,,+,NA,+|NA
Genitourinary,phecode_613,Other nonmalignant breast conditions,"0.445 (0.4, 0.485)","0.5 (0.461, 0.532)","0.055 (0.014, 0.089)",,,,+,NA,+|NA
Mental,phecode_280,Substance related disorders,"0.616 (0.603, 0.628)","0.67 (0.652, 0.685)","0.055 (0.042, 0.068)",,,,+,NA,+|NA
Derm,phecode_664,Papulosquamous disorders,"0.554 (0.514, 0.598)","0.612 (0.553, 0.647)","0.055 (0.011, 0.097)",,,,+,NA,+|NA
Derm,phecode_686-2,Non-pressure chronic ulcer,"0.7 (0.676, 0.723)","0.753 (0.736, 0.777)","0.056 (0.033, 0.076)",,,,+,NA,+|NA
GI,phecode_537-1,Peritonitis,"0.503 (0.476, 0.528)","0.556 (0.529, 0.588)","0.056 (0.022, 0.088)",,,,+,NA,+|NA
Genitourinary,phecode_619-4,Noninflammatory disorders of vagina,"0.445 (0.397, 0.49)","0.501 (0.451, 0.54)","0.057 (0.01, 0.103)",,,,+,NA,+|NA
Neuro,phecode_337,Polyneuropathies,"0.62 (0.602, 0.643)","0.679 (0.66, 0.697)","0.058 (0.04, 0.075)",,,,+,NA,+|NA
Blood,phecode_164-6,Anemia secondary to chronic diseases and conditions,"0.631 (0.594, 0.675)","0.687 (0.655, 0.724)","0.058 (0.019, 0.09)",,,,+,NA,+|NA
ID,phecode_056,Human papillomavirus,"0.407 (0.368, 0.448)","0.465 (0.418, 0.512)","0.059 (0.025, 0.095)",,,,+,NA,+|NA
Derm,phecode_681,"Localized swelling, mass and lump of skin and subcutaneous tissue","0.503 (0.474, 0.53)","0.56 (0.535, 0.582)","0.059 (0.027, 0.086)",,,,+,NA,+|NA
Genitourinary,phecode_619-5,Noninflammatory disorders of vulva and perineum,"0.404 (0.36, 0.447)","0.458 (0.428, 0.496)","0.059 (0.011, 0.109)",,,,+,NA,+|NA
Genitourinary,phecode_583-1,"End stage renal disease [CDK, stage 5]","0.7 (0.674, 0.728)","0.76 (0.74, 0.789)","0.06 (0.033, 0.081)",,,,+,NA,+|NA
Neuro,phecode_333,Sleep disorders,"0.556 (0.544, 0.567)","0.616 (0.603, 0.63)","0.061 (0.047, 0.074)",,,,+,NA,+|NA
Neuro,phecode_336-2,"Lesion of median, ulnar, radial nerve","0.517 (0.49, 0.546)","0.578 (0.544, 0.604)","0.061 (0.037, 0.088)",,,,+,NA,+|NA
Neuro,phecode_333-1,Sleep apnea,"0.561 (0.547, 0.579)","0.624 (0.614, 0.641)","0.063 (0.052, 0.076)",,,,+,NA,+|NA
Mental,phecode_280-11,Alcohol abuse,"0.632 (0.617, 0.654)","0.697 (0.677, 0.715)","0.064 (0.05, 0.083)",,,,+,NA,+|NA
Eye,phecode_376-2,Vitreous opacities,"0.659 (0.629, 0.686)","0.724 (0.708, 0.744)","0.065 (0.036, 0.098)",,,,+,NA,+|NA
Mental,phecode_286-1,Bipolar disorder,"0.504 (0.464, 0.543)","0.568 (0.534, 0.61)","0.066 (0.028, 0.105)",,,,+,NA,+|NA
Eye,phecode_376,Disorders of vitreous body,"0.659 (0.636, 0.683)","0.724 (0.703, 0.745)","0.066 (0.04, 0.091)",,,,+,NA,+|NA
Eye,phecode_371-3,Nuclear cataract,"0.742 (0.737, 0.751)","0.81 (0.804, 0.817)","0.067 (0.061, 0.073)",,,,+,NA,+|NA
ID,phecode_059-1,COVID-19*,"0.627 (0.583, 0.673)","0.691 (0.659, 0.732)","0.068 (0.017, 0.11)",,,,+,NA,+|NA
Eye,phecode_371-31,Age-related nuclear cataract,"0.742 (0.735, 0.749)","0.81 (0.805, 0.817)","0.068 (0.062, 0.075)",,,,+,NA,+|NA
GI,phecode_542-1,Fibrosis and cirrhosis of liver,"0.638 (0.61, 0.667)","0.706 (0.675, 0.737)","0.069 (0.04, 0.092)",,,,+,NA,+|NA
Mental,phecode_280-13,Alcoholic liver disease,"0.68 (0.646, 0.711)","0.75 (0.717, 0.78)","0.07 (0.035, 0.102)",,,,+,NA,+|NA
Eye,phecode_369,Noninflammatory disorders of the cornea,"0.698 (0.676, 0.721)","0.768 (0.751, 0.789)","0.07 (0.054, 0.086)",,,,+,NA,+|NA
Eye,phecode_375-12,Angle-Closure Glaucoma,"0.681 (0.638, 0.718)","0.753 (0.714, 0.793)","0.071 (0.031, 0.108)",,,,+,NA,+|NA
ID,phecode_052,Herpesvirus,"0.544 (0.511, 0.575)","0.613 (0.583, 0.651)","0.071 (0.033, 0.106)",,,,+,NA,+|NA
Neuro,phecode_355-2,Alteration of consciousness,"0.587 (0.546, 0.625)","0.66 (0.617, 0.697)","0.071 (0.023, 0.113)",,,,+,NA,+|NA
Neuro,phecode_351,Disturbances of skin sensation,"0.451 (0.432, 0.472)","0.521 (0.5, 0.544)","0.072 (0.042, 0.099)",,,,+,NA,+|NA
Mental,phecode_281-1,Substance abuse,"0.62 (0.598, 0.641)","0.692 (0.673, 0.707)","0.072 (0.055, 0.087)",,,,+,NA,+|NA
Cardio,phecode_418,Abnormal results of cardiovascular function studies,"0.541 (0.506, 0.569)","0.612 (0.58, 0.641)","0.074 (0.046, 0.109)",,,,+,NA,+|NA
GI,phecode_540-1,Chronic hepatitis,"0.531 (0.499, 0.573)","0.615 (0.579, 0.658)","0.084 (0.047, 0.122)",,,,+,NA,+|NA
Endo,phecode_211,Disorders of adrenal glands,"0.527 (0.491, 0.56)","0.611 (0.576, 0.661)","0.085 (0.046, 0.138)",,,,+,NA,+|NA
