phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Genitourinary,phecode_627-4,Menorrhagia/Excessive and frequent menstruation,"0.878 (0.873, 0.883)","0.879 (0.873, 0.883)","0 (-0.001, 0.002)"
Musc/Skel,phecode_723-4,Lateral epicondylitis (Tennis elbow),"0.638 (0.629, 0.645)","0.638 (0.629, 0.645)","0 (-0.001, 0.002)"
Genitourinary,phecode_600,Benign prostatic hyperplasia,"0.664 (0.659, 0.669)","0.664 (0.659, 0.669)","0 (-0.001, 0.001)"
Genitourinary,phecode_594-41,Nocturia,"0.716 (0.704, 0.723)","0.715 (0.704, 0.723)","0 (-0.001, 0.001)"
Genitourinary,phecode_627-2,Symptomatic menopause,"0.766 (0.761, 0.771)","0.767 (0.761, 0.772)","0 (-0.001, 0.001)"
GI,phecode_520,Hernia,"0.624 (0.619, 0.629)","0.624 (0.619, 0.629)","0 (-0.001, 0.001)"
GI,phecode_520-1,Hernia of the abdominal wall,"0.715 (0.71, 0.72)","0.715 (0.71, 0.72)","0 (-0.001, 0.001)"
Mental,phecode_290,"Reaction to severe stress, and adjustment disorders","0.642 (0.634, 0.65)","0.642 (0.634, 0.65)","0 (-0.001, 0.001)"
Neuro,phecode_331-6,Migraine,"0.643 (0.635, 0.651)","0.643 (0.635, 0.65)","0 (-0.001, 0.001)"
Rx,phecode_977-5,Long term (current) use of agents affecting hormones,"0.896 (0.886, 0.901)","0.896 (0.886, 0.902)","0 (-0.001, 0.001)"
Signs/Symptoms,phecode_832,Other abnormal findings in urine,"0.645 (0.641, 0.65)","0.645 (0.641, 0.649)","0 (-0.001, 0.001)"
Stat,phecode_979,Transplated organ,"0.547 (0.517, 0.585)","0.406 (0.368, 0.442)","-0.139 (-0.203, -0.096)"
Musc/Skel,phecode_701,"Osteomyelitis, periostitis, and other infections involving bone","0.602 (0.56, 0.642)","0.47 (0.425, 0.514)","-0.128 (-0.192, -0.06)"
GI,phecode_514-3,Ileus,"0.69 (0.655, 0.718)","0.612 (0.576, 0.652)","-0.076 (-0.105, -0.042)"
Musc/Skel,phecode_701-1,Osteomyelitis,"0.574 (0.547, 0.616)","0.508 (0.464, 0.561)","-0.072 (-0.136, 0.003)"
Genitourinary,phecode_583-1,"End stage renal disease [CDK, stage 5]","0.708 (0.674, 0.738)","0.659 (0.623, 0.697)","-0.048 (-0.09, -0.002)"
GI,phecode_500,Disorders of tooth develoment,"0.573 (0.54, 0.619)","0.527 (0.499, 0.57)","-0.046 (-0.063, -0.029)"
GI,phecode_500-4,Disturbances in tooth eruption,"0.569 (0.532, 0.599)","0.525 (0.49, 0.565)","-0.042 (-0.064, -0.019)"
Neoplasms,phecode_122-22,Diffuse large B-cell lymphoma*,"0.669 (0.637, 0.705)","0.632 (0.597, 0.671)","-0.037 (-0.059, -0.009)"
Endo,phecode_200-4,Thyroiditis,"0.607 (0.566, 0.642)","0.574 (0.523, 0.611)","-0.036 (-0.068, 0.001)"
Cardio,phecode_413-42,Pulmonary valve insufficiency*,"0.69 (0.64, 0.734)","0.655 (0.618, 0.696)","-0.036 (-0.059, -0.001)"
Neuro,phecode_323,Systemic atrophies primarily affecting the central nervous system,"0.623 (0.593, 0.662)","0.591 (0.559, 0.627)","-0.036 (-0.055, -0.017)"
Endo,phecode_200-21,Diffuse goiter,"0.627 (0.591, 0.654)","0.591 (0.56, 0.62)","-0.036 (-0.05, -0.018)"
Endo,phecode_200-31,Graves' disease [Toxic diffuse goiter],"0.634 (0.603, 0.661)","0.597 (0.56, 0.622)","-0.035 (-0.052, -0.016)"
Signs/Symptoms,phecode_841-5,Allergy to serum and vaccine,"0.623 (0.583, 0.677)","0.587 (0.536, 0.638)","-0.034 (-0.066, -0.005)"
GI,phecode_500-41,Impacted teeth*,"0.593 (0.553, 0.632)","0.559 (0.516, 0.599)","-0.034 (-0.054, -0.009)"
Neuro,phecode_331-3,"Headache syndromes, non migraine","0.552 (0.506, 0.583)","0.519 (0.478, 0.557)","-0.033 (-0.07, -0.003)"
Genitourinary,phecode_581-33,Stricture or kinking of ureter,"0.609 (0.574, 0.644)","0.579 (0.539, 0.61)","-0.033 (-0.058, -0.015)"
Derm,phecode_664-2,Pityriasis,"0.588 (0.556, 0.626)","0.556 (0.527, 0.594)","-0.033 (-0.05, -0.014)"
GI,phecode_514-21,Impaction of intestine,"0.571 (0.531, 0.62)","0.542 (0.506, 0.591)","-0.032 (-0.067, 0.008)"
Cardio,phecode_413-4,Pulmonary valve disorders,"0.693 (0.652, 0.729)","0.658 (0.618, 0.702)","-0.032 (-0.055, -0.004)"
Eye,phecode_381-1,Paralytic strabismus [Neurogenic strabismus],"0.649 (0.617, 0.683)","0.62 (0.578, 0.648)","-0.031 (-0.056, -0.003)"
Musc/Skel,phecode_712-5,Disorder of ligament,"0.61 (0.565, 0.657)","0.582 (0.541, 0.62)","-0.029 (-0.06, -0.006)"
Musc/Skel,phecode_710-31,Genu valgum (acquired),"0.645 (0.599, 0.687)","0.616 (0.566, 0.668)","-0.029 (-0.048, -0.013)"
Resp,phecode_486-21,Bronchospasm,"0.543 (0.507, 0.576)","0.518 (0.478, 0.552)","-0.028 (-0.058, 0.009)"
Neuro,phecode_329-42,Cognitive communication deficit,"0.549 (0.526, 0.58)","0.523 (0.501, 0.555)","-0.027 (-0.05, -0.006)"
Genitourinary,phecode_624-2,Atrophy of female genital tract,"0.562 (0.535, 0.591)","0.532 (0.507, 0.567)","-0.027 (-0.049, -0.009)"
Neuro,phecode_349-2,Abnormal results of function studies of peripheral nervous system,"0.58 (0.556, 0.611)","0.555 (0.531, 0.586)","-0.027 (-0.045, -0.008)"
Neuro,phecode_356-2,Aphasia and dysphasia,"0.692 (0.664, 0.723)","0.664 (0.636, 0.694)","-0.027 (-0.044, -0.011)"
Neoplasms,phecode_124,Myeloproliferative disorder,"0.674 (0.648, 0.696)","0.647 (0.618, 0.665)","-0.027 (-0.043, -0.009)"
Neoplasms,phecode_124-5,Essential thrombocythemia,"0.639 (0.584, 0.685)","0.61 (0.571, 0.65)","-0.026 (-0.059, 0.008)"
Hearing,phecode_394-4,Abnormal vestibular function study,"0.612 (0.565, 0.648)","0.584 (0.546, 0.621)","-0.026 (-0.048, -0.007)"
Neuro,phecode_329-6,Transient global amnesia,"0.622 (0.594, 0.655)","0.597 (0.561, 0.631)","-0.026 (-0.043, -0.011)"
Neuro,phecode_355-1,Coma,"0.577 (0.548, 0.608)","0.553 (0.517, 0.594)","-0.024 (-0.044, -0.003)"
Cardio,phecode_416-12,Ventricular tachycardia,"0.709 (0.685, 0.734)","0.683 (0.66, 0.714)","-0.024 (-0.037, -0.015)"
Metab,phecode_230-22,Underweight,"0.593 (0.563, 0.631)","0.572 (0.538, 0.606)","-0.023 (-0.049, 0.003)"
GI,phecode_532-4,Volvulus,"0.598 (0.557, 0.644)","0.572 (0.53, 0.622)","-0.023 (-0.044, -0.003)"
Metab,phecode_247-3,Disorder of phosphorus metabolism,"0.637 (0.611, 0.663)","0.619 (0.58, 0.653)","-0.022 (-0.057, 0.017)"
Derm,phecode_672,Other acute skin changes due to ultraviolet radiation,"0.59 (0.551, 0.627)","0.565 (0.533, 0.603)","-0.022 (-0.047, 0.001)"
Blood,phecode_172,Other disorders of white blood cells,"0.624 (0.598, 0.649)","0.602 (0.576, 0.634)","-0.022 (-0.043, 0)"
Cardio,phecode_438-12,Thoracic aneurysm,"0.675 (0.65, 0.702)","0.652 (0.625, 0.687)","-0.022 (-0.043, -0.001)"
Metab,phecode_247-52,Hypercalcemia,"0.66 (0.636, 0.69)","0.639 (0.606, 0.671)","-0.022 (-0.035, -0.005)"
Blood,phecode_179-9,Immunodeficiency NOS,"0.543 (0.502, 0.579)","0.52 (0.477, 0.571)","-0.021 (-0.057, 0.025)"
Resp,phecode_475-5,Exercise induced bronchospasm,"0.54 (0.5, 0.582)","0.524 (0.484, 0.559)","-0.02 (-0.063, 0.032)"
GI,phecode_504-32,Chronic periodontitis,"0.548 (0.509, 0.581)","0.527 (0.492, 0.569)","-0.02 (-0.051, 0.007)"
Hearing,phecode_398-1,Abnormal auditory function study,"0.606 (0.581, 0.631)","0.585 (0.558, 0.616)","-0.02 (-0.033, -0.005)"
GI,phecode_530-3,Rectal prolapse,"0.717 (0.694, 0.744)","0.697 (0.676, 0.728)","-0.02 (-0.031, -0.009)"
Musc/Skel,phecode_721-4,Calcium deposits in tendon and bursa,"0.543 (0.508, 0.586)","0.527 (0.491, 0.569)","-0.019 (-0.051, 0.026)"
Genitourinary,phecode_621,Endometrial hyperplasia,"0.588 (0.548, 0.627)","0.568 (0.53, 0.615)","-0.019 (-0.051, 0.013)"
GI,phecode_552-2,Obstruction of bile duct,"0.635 (0.607, 0.674)","0.617 (0.587, 0.653)","-0.019 (-0.048, 0.009)"
Neoplasms,phecode_121-2,Chronic leukemia,"0.698 (0.673, 0.726)","0.679 (0.65, 0.709)","-0.019 (-0.043, 0)"
Neoplasms,phecode_123-1,Multiple myeloma,"0.672 (0.637, 0.715)","0.654 (0.613, 0.707)","-0.019 (-0.041, 0.003)"
Neoplasms,phecode_121,Leukemia,"0.683 (0.659, 0.709)","0.664 (0.628, 0.691)","-0.019 (-0.039, -0.004)"
Derm,phecode_664-21,Pityriasis rosea,"0.608 (0.573, 0.647)","0.592 (0.553, 0.626)","-0.019 (-0.031, -0.007)"
Blood,phecode_171-1,Lymphocytosis (symptomatic),"0.607 (0.569, 0.648)","0.589 (0.546, 0.636)","-0.018 (-0.054, 0.019)"
GI,phecode_522-11,Crohn's disease,"0.537 (0.507, 0.58)","0.518 (0.491, 0.553)","-0.018 (-0.046, 0.008)"
GI,phecode_510-5,Dyskinesia of esophagus,"0.612 (0.58, 0.645)","0.595 (0.554, 0.633)","-0.018 (-0.04, 0.002)"
Neoplasms,phecode_123,Multiple myeloma and malignant plasma cell neoplasms,"0.683 (0.647, 0.722)","0.665 (0.631, 0.707)","-0.018 (-0.04, 0.001)"
Derm,phecode_685-4,Prickly heat and miliaria,"0.525 (0.491, 0.56)","0.509 (0.476, 0.544)","-0.018 (-0.038, 0.01)"
GI,phecode_509-11,Glossodynia,"0.591 (0.561, 0.625)","0.573 (0.548, 0.606)","-0.018 (-0.037, 0.002)"
Eye,phecode_367-21,Corneal ulcer,"0.601 (0.562, 0.655)","0.585 (0.54, 0.627)","-0.018 (-0.035, 0.011)"
Neoplasms,phecode_120-1,Myeloid,"0.689 (0.668, 0.709)","0.67 (0.649, 0.686)","-0.018 (-0.031, -0.008)"
Genitourinary,phecode_601-12,Chronic prostatitis,"0.616 (0.59, 0.657)","0.602 (0.575, 0.639)","-0.018 (-0.027, -0.001)"
Neoplasms,phecode_101-8,Malignant neoplasm of the pancreas,"0.669 (0.643, 0.692)","0.653 (0.621, 0.675)","-0.017 (-0.039, 0.006)"
Neuro,phecode_329-4,Other specified cognitive deficit,"0.515 (0.489, 0.542)","0.5 (0.481, 0.522)","-0.016 (-0.042, 0.016)"
Resp,phecode_466-4,Hypertrophy of tonsils and adenoids,"0.611 (0.577, 0.657)","0.598 (0.558, 0.635)","-0.016 (-0.041, 0.017)"
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),"0.655 (0.622, 0.686)","0.639 (0.606, 0.679)","-0.016 (-0.037, 0.008)"
Neoplasms,phecode_121-21,Chronic lymphoid leukemia,"0.706 (0.673, 0.735)","0.689 (0.657, 0.718)","-0.016 (-0.035, 0.003)"
Cardio,phecode_416-71,Sick sinus syndrome*,"0.733 (0.7, 0.771)","0.717 (0.678, 0.75)","-0.016 (-0.035, -0.002)"
Cardio,phecode_416-7,Sinoatrial node dysfunction,"0.735 (0.695, 0.775)","0.718 (0.683, 0.766)","-0.016 (-0.035, -0.001)"
Blood,phecode_168-4,Abnormal coagulation profile,"0.729 (0.694, 0.763)","0.712 (0.679, 0.743)","-0.016 (-0.028, -0.002)"
Neoplasms,phecode_139-54,Testicular limpoma,"0.609 (0.571, 0.65)","0.593 (0.551, 0.635)","-0.016 (-0.027, -0.004)"
Derm,phecode_668-4,Dermatitis due to substances taken internally,"0.564 (0.531, 0.601)","0.554 (0.505, 0.584)","-0.015 (-0.058, 0.019)"
Cardio,phecode_430-3,Nontraumatic subdural hemorrhage,"0.664 (0.624, 0.71)","0.65 (0.613, 0.692)","-0.015 (-0.032, 0.004)"
Eye,phecode_374-39,Transient retinal arterial occlusion [Amaurosis fugax],"0.683 (0.651, 0.714)","0.666 (0.637, 0.696)","-0.015 (-0.031, 0)"
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,"0.624 (0.597, 0.648)","0.61 (0.582, 0.628)","-0.015 (-0.03, 0)"
GI,phecode_509-1,Glossitis,"0.602 (0.581, 0.624)","0.585 (0.565, 0.61)","-0.015 (-0.03, -0.002)"
Genitourinary,phecode_613-1,Inflammatory disease of breast,"0.582 (0.556, 0.616)","0.567 (0.537, 0.597)","-0.015 (-0.027, -0.005)"
GI,phecode_530-1,Anal fissure,"0.555 (0.536, 0.57)","0.54 (0.52, 0.554)","-0.015 (-0.024, -0.005)"
Neoplasms,phecode_120,Hemo onc - by cell of origin,"0.667 (0.653, 0.679)","0.652 (0.637, 0.665)","-0.015 (-0.023, -0.006)"
Cardio,phecode_414-2,Dilated cardiomyopathy*,"0.662 (0.633, 0.703)","0.65 (0.61, 0.684)","-0.014 (-0.046, 0.007)"
Genitourinary,phecode_604-1,Redundant prepuce and phimosis,"0.487 (0.459, 0.53)","0.477 (0.441, 0.516)","-0.014 (-0.044, 0.014)"
Blood,phecode_171,Increased white blood cell count,"0.595 (0.565, 0.627)","0.579 (0.545, 0.61)","-0.014 (-0.044, 0.006)"
Hearing,phecode_391-21,Eustachian salpingitis,"0.521 (0.501, 0.562)","0.511 (0.481, 0.541)","-0.014 (-0.037, 0.009)"
Neoplasms,phecode_101-2,Malignant neoplasm of stomach,"0.688 (0.656, 0.729)","0.673 (0.65, 0.708)","-0.014 (-0.036, 0.006)"
Genitourinary,phecode_622-2,Mucous polyp of cervix,"0.618 (0.598, 0.64)","0.605 (0.584, 0.625)","-0.014 (-0.03, 0)"
Cardio,phecode_413-6,Heart valve replaced,"0.726 (0.706, 0.751)","0.711 (0.692, 0.732)","-0.014 (-0.027, -0.004)"
Neoplasms,phecode_120-21,Mature B-cell,"0.68 (0.66, 0.703)","0.665 (0.646, 0.687)","-0.014 (-0.026, -0.002)"
Endo,phecode_200-13,Postprocedural hypothyroidism,"0.659 (0.643, 0.681)","0.647 (0.626, 0.665)","-0.014 (-0.025, -0.002)"
Mental,phecode_308-3,Emotional lability,"0.653 (0.618, 0.704)","0.642 (0.61, 0.682)","-0.013 (-0.036, 0.007)"
Derm,phecode_685-1,Dyshidrosis,"0.537 (0.502, 0.563)","0.523 (0.492, 0.549)","-0.013 (-0.031, 0.003)"
Neoplasms,phecode_122-2,Non-Hodgkin lymphoma,"0.667 (0.643, 0.691)","0.654 (0.629, 0.68)","-0.013 (-0.03, 0.004)"
Musc/Skel,phecode_704-5,Giant cell arteritis,"0.752 (0.725, 0.784)","0.741 (0.713, 0.775)","-0.013 (-0.029, 0.003)"
Endo,phecode_208-21,Primary hyperparathyroidism,"0.678 (0.651, 0.7)","0.663 (0.638, 0.684)","-0.013 (-0.029, 0.002)"
Hearing,phecode_394-1,Meniere disease,"0.612 (0.581, 0.634)","0.599 (0.569, 0.623)","-0.013 (-0.027, 0.001)"
Neoplasms,phecode_120-2,Lymphoid,"0.666 (0.649, 0.685)","0.653 (0.635, 0.672)","-0.013 (-0.026, -0.001)"
Musc/Skel,phecode_728-1,Chondromalacia,"0.659 (0.629, 0.7)","0.646 (0.616, 0.684)","-0.013 (-0.023, -0.005)"
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system","0.603 (0.573, 0.637)","0.592 (0.557, 0.627)","-0.012 (-0.044, 0.015)"
Genitourinary,phecode_604-3,Peyronie's disease,"0.499 (0.468, 0.525)","0.489 (0.461, 0.515)","-0.012 (-0.043, 0.023)"
Hearing,phecode_394-22,Vestibular neuronitis,"0.549 (0.526, 0.574)","0.537 (0.509, 0.56)","-0.012 (-0.039, 0.007)"
Genitourinary,phecode_614-1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)","0.575 (0.539, 0.61)","0.563 (0.53, 0.595)","-0.012 (-0.037, 0.009)"
Resp,phecode_471-3,Hypertrophy of nasal turbinates,"0.59 (0.55, 0.625)","0.577 (0.532, 0.613)","-0.012 (-0.036, 0.013)"
Neoplasms,phecode_101-1,Malignant neoplasm of the esophagus,"0.735 (0.71, 0.759)","0.721 (0.697, 0.746)","-0.012 (-0.028, 0)"
Neoplasms,phecode_122,Lymphoma,"0.658 (0.631, 0.683)","0.646 (0.626, 0.668)","-0.012 (-0.026, 0.005)"
Musc/Skel,phecode_700-2,Sicca syndrome [Sjogren syndrome],"0.731 (0.707, 0.758)","0.718 (0.689, 0.751)","-0.012 (-0.026, 0.003)"
Eye,phecode_381,Strabismus,"0.631 (0.6, 0.655)","0.617 (0.592, 0.64)","-0.012 (-0.025, 0.006)"
Mental,phecode_284-1,Suicidal ideations,"0.611 (0.596, 0.635)","0.599 (0.581, 0.622)","-0.012 (-0.024, 0)"
Musc/Skel,phecode_704,Systemic vasculitis,"0.677 (0.653, 0.7)","0.665 (0.643, 0.686)","-0.012 (-0.024, 0.003)"
Genitourinary,phecode_604,Disorders of penis,"0.51 (0.496, 0.526)","0.499 (0.483, 0.513)","-0.012 (-0.022, -0.001)"
Genitourinary,phecode_601-1,Prostatitis,"0.576 (0.555, 0.592)","0.564 (0.544, 0.581)","-0.012 (-0.019, -0.005)"
GI,phecode_520-12,Femoral hernia,"0.585 (0.546, 0.627)","0.575 (0.535, 0.614)","-0.011 (-0.039, 0.023)"
Genitourinary,phecode_580-3,Nephrotic syndrome,"0.553 (0.523, 0.58)","0.543 (0.516, 0.577)","-0.011 (-0.036, 0.021)"
Neoplasms,phecode_106-21,Malignant neoplasm of endometrium,"0.566 (0.533, 0.592)","0.554 (0.529, 0.576)","-0.011 (-0.035, 0.007)"
Eye,phecode_389-1,Ocular pain,"0.538 (0.518, 0.559)","0.528 (0.5, 0.548)","-0.011 (-0.034, 0.009)"
Resp,phecode_481-4,Pulmonary fibrosis,"0.726 (0.702, 0.748)","0.716 (0.681, 0.738)","-0.011 (-0.032, 0.009)"
GI,phecode_522-14,Microscopic colitis*,"0.64 (0.604, 0.665)","0.63 (0.591, 0.659)","-0.011 (-0.031, 0.016)"
Eye,phecode_379-2,"Eye infection, viral","0.546 (0.517, 0.571)","0.533 (0.512, 0.558)","-0.011 (-0.031, 0.009)"
Musc/Skel,phecode_702,Infective and reactive arthropathies,"0.556 (0.526, 0.581)","0.543 (0.518, 0.576)","-0.011 (-0.029, 0.007)"
Genitourinary,phecode_624,Symptoms involving female genital tract,"0.57 (0.553, 0.589)","0.558 (0.537, 0.581)","-0.011 (-0.029, 0.002)"
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,"0.612 (0.59, 0.635)","0.601 (0.58, 0.623)","-0.011 (-0.027, 0)"
Cardio,phecode_410-2,Endocarditis,"0.646 (0.627, 0.669)","0.635 (0.618, 0.665)","-0.011 (-0.024, 0.003)"
Neoplasms,phecode_116-3,Secondary malignant neoplasm of digestive systems,"0.633 (0.614, 0.654)","0.623 (0.605, 0.642)","-0.011 (-0.024, 0.003)"
Musc/Skel,phecode_710-32,Genu varum (acquired),"0.682 (0.646, 0.721)","0.672 (0.636, 0.715)","-0.011 (-0.022, 0.001)"
Genitourinary,phecode_622-1,Polyp of corpus uteri,"0.536 (0.52, 0.557)","0.525 (0.508, 0.549)","-0.011 (-0.021, 0.003)"
Genitourinary,phecode_619-5,Noninflammatory disorders of vulva and perineum,"0.531 (0.519, 0.544)","0.52 (0.505, 0.537)","-0.011 (-0.018, -0.001)"
Cardio,phecode_416-43,Right bundle branch block,"0.706 (0.69, 0.721)","0.695 (0.678, 0.711)","-0.011 (-0.016, -0.005)"
Signs/Symptoms,phecode_803,Snoring*,"0.631 (0.615, 0.648)","0.62 (0.605, 0.637)","-0.011 (-0.015, -0.007)"
Neuro,phecode_352-3,Parageusia*,"0.537 (0.505, 0.569)","0.523 (0.495, 0.562)","-0.01 (-0.04, 0.013)"
Cardio,phecode_413-12,Mitral valve prolapse*,"0.639 (0.605, 0.674)","0.628 (0.595, 0.667)","-0.01 (-0.039, 0.011)"
Mental,phecode_308-1,Irritability,"0.575 (0.535, 0.615)","0.568 (0.532, 0.603)","-0.01 (-0.038, 0.015)"
Eye,phecode_386-9,Visual distortions and subjective visual disturbances,"0.626 (0.597, 0.664)","0.618 (0.583, 0.647)","-0.01 (-0.031, 0.016)"
Musc/Skel,phecode_710-41,Flat foot [pes planus],"0.584 (0.559, 0.616)","0.572 (0.537, 0.608)","-0.01 (-0.03, 0.009)"
GI,phecode_518,Appendicitis,"0.557 (0.532, 0.585)","0.549 (0.524, 0.579)","-0.01 (-0.029, 0.008)"
GI,phecode_513-3,Duodenal ulcer,"0.62 (0.602, 0.641)","0.609 (0.592, 0.628)","-0.01 (-0.026, 0.001)"
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,"0.526 (0.508, 0.54)","0.517 (0.492, 0.537)","-0.01 (-0.025, 0.011)"
Neuro,phecode_325-23,Unsteadiness on feet*,"0.651 (0.625, 0.676)","0.641 (0.615, 0.666)","-0.01 (-0.024, 0)"
Blood,phecode_180-3,Paraproteinemias,"0.687 (0.66, 0.714)","0.675 (0.654, 0.704)","-0.01 (-0.024, 0.001)"
Genitourinary,phecode_581-3,Obstructive and reflux uropathy,"0.62 (0.604, 0.635)","0.61 (0.593, 0.625)","-0.01 (-0.021, 0.001)"
Eye,phecode_386-2,Diplopia,"0.595 (0.576, 0.617)","0.587 (0.563, 0.608)","-0.01 (-0.019, 0.004)"
Genitourinary,phecode_601,Inflammatory diseases of prostate,"0.575 (0.556, 0.593)","0.565 (0.542, 0.582)","-0.01 (-0.017, -0.003)"
Genitourinary,phecode_597-5,Urethral caruncle,"0.787 (0.766, 0.81)","0.778 (0.754, 0.801)","-0.01 (-0.015, -0.004)"
Endo,phecode_209-1,Pituitary hyperfunction,"0.615 (0.555, 0.653)","0.605 (0.554, 0.649)","-0.009 (-0.047, 0.034)"
Genitourinary,phecode_601-11,Acute prostatitis,"0.559 (0.532, 0.591)","0.553 (0.514, 0.588)","-0.009 (-0.046, 0.019)"
Signs/Symptoms,phecode_814,Jaundice (not of newborn),"0.621 (0.591, 0.653)","0.613 (0.588, 0.636)","-0.009 (-0.031, 0.015)"
Neoplasms,phecode_108-41,"Malignant neoplasm of kidney, except pelvis","0.663 (0.63, 0.699)","0.652 (0.624, 0.683)","-0.009 (-0.029, 0.008)"
GI,phecode_525,Intestinal malabsorption,"0.534 (0.515, 0.553)","0.525 (0.504, 0.542)","-0.009 (-0.026, 0.008)"
Eye,phecode_361-9,Ectropion of eyelid,"0.684 (0.64, 0.722)","0.676 (0.629, 0.714)","-0.009 (-0.023, 0.008)"
Neuro,phecode_334-1,Trigeminal nerve disorders [CN5],"0.6 (0.575, 0.618)","0.59 (0.57, 0.611)","-0.009 (-0.021, 0.005)"
Cardio,phecode_410,Inflammation of the heart [Carditis],"0.623 (0.605, 0.648)","0.615 (0.595, 0.638)","-0.009 (-0.021, 0.002)"
Cardio,phecode_413-22,Aortic insufficiency,"0.677 (0.662, 0.692)","0.668 (0.651, 0.684)","-0.009 (-0.021, 0.002)"
GI,phecode_522-1,Inflammatory bowel disease,"0.546 (0.53, 0.574)","0.538 (0.522, 0.558)","-0.009 (-0.02, 0.007)"
Cardio,phecode_416-1,Paroxysmal tachycardia,"0.63 (0.617, 0.647)","0.621 (0.608, 0.637)","-0.009 (-0.019, -0.001)"
Neuro,phecode_328-9,Dementia NOS,"0.779 (0.761, 0.794)","0.768 (0.751, 0.783)","-0.009 (-0.018, -0.002)"
Neuro,phecode_324-1,Parkinsonism,"0.722 (0.71, 0.737)","0.713 (0.7, 0.729)","-0.009 (-0.017, -0.004)"
Neoplasms,phecode_105-1,"Malignant neoplasm of the breast, female","0.533 (0.518, 0.546)","0.525 (0.513, 0.537)","-0.009 (-0.017, -0.001)"
Cardio,phecode_444-15,Scrotal varices [Varicocele],"0.802 (0.788, 0.815)","0.794 (0.778, 0.807)","-0.009 (-0.016, 0)"
Resp,phecode_463-4,Nasal congestion*,"0.536 (0.525, 0.546)","0.527 (0.518, 0.537)","-0.009 (-0.016, 0.002)"
Endo,phecode_200-23,Multinodular goiter,"0.69 (0.671, 0.715)","0.682 (0.66, 0.705)","-0.009 (-0.016, -0.003)"
Genitourinary,phecode_596-2,Overactive bladder,"0.597 (0.585, 0.612)","0.587 (0.576, 0.602)","-0.009 (-0.014, -0.003)"
Resp,phecode_488-8,Mouth breathing*,"0.598 (0.583, 0.615)","0.589 (0.574, 0.605)","-0.009 (-0.013, -0.002)"
Cardio,phecode_416-51,Atrial premature depolarization [Supraventricular premature beats],"0.629 (0.604, 0.66)","0.623 (0.597, 0.648)","-0.008 (-0.031, 0.023)"
GI,phecode_523-1,Diverticula of small intestine,"0.643 (0.608, 0.691)","0.632 (0.595, 0.673)","-0.008 (-0.031, 0.023)"
Neoplasms,phecode_108-4,Malignant neoplasm of the kidney,"0.661 (0.634, 0.687)","0.653 (0.626, 0.678)","-0.008 (-0.027, 0.01)"
Mental,phecode_286-21,"Major depressive disorder, recurrent","0.587 (0.561, 0.611)","0.577 (0.55, 0.606)","-0.008 (-0.024, 0.008)"
Eye,phecode_363-7,Stenosis and insufficiency of lacrimal passages,"0.622 (0.595, 0.649)","0.615 (0.588, 0.642)","-0.008 (-0.022, 0.007)"
Neuro,phecode_325-3,Lack of coordination,"0.603 (0.582, 0.619)","0.594 (0.575, 0.613)","-0.008 (-0.021, 0.007)"
Genitourinary,phecode_603-1,Hydrocele,"0.555 (0.53, 0.584)","0.547 (0.523, 0.573)","-0.008 (-0.021, 0.005)"
Genitourinary,phecode_581-31,Hydronephrosis,"0.606 (0.589, 0.629)","0.598 (0.578, 0.617)","-0.008 (-0.021, 0.004)"
Neoplasms,phecode_101-42,Malignant neoplasm of the rectum,"0.682 (0.657, 0.705)","0.675 (0.65, 0.693)","-0.008 (-0.019, 0.003)"
Cardio,phecode_416-11,Supraventricular tachycardia,"0.62 (0.602, 0.635)","0.613 (0.595, 0.63)","-0.008 (-0.018, 0.003)"
Neuro,phecode_324-4,Tremor,"0.629 (0.616, 0.641)","0.621 (0.607, 0.634)","-0.008 (-0.016, -0.001)"
Neuro,phecode_324-11,Parkinson's disease (Primary),"0.724 (0.709, 0.74)","0.716 (0.698, 0.731)","-0.008 (-0.015, -0.002)"
Hearing,phecode_396-21,"Sensorineural hearing loss, bilateral","0.647 (0.629, 0.665)","0.64 (0.622, 0.656)","-0.008 (-0.012, -0.003)"
Mental,phecode_308-6,"Excessive crying of child, adolescent, or adult","0.674 (0.646, 0.71)","0.665 (0.634, 0.702)","-0.007 (-0.035, 0.015)"
Genitourinary,phecode_580,Glomerular diseases,"0.628 (0.607, 0.652)","0.622 (0.599, 0.646)","-0.007 (-0.032, 0.02)"
Hearing,phecode_391-12,Chronic otitis media,"0.496 (0.478, 0.52)","0.492 (0.47, 0.512)","-0.007 (-0.029, 0.021)"
Blood,phecode_180-31,Monoclonal gammopathy,"0.689 (0.668, 0.713)","0.683 (0.657, 0.704)","-0.007 (-0.026, 0.009)"
Neoplasms,phecode_106,Gynecological malignant neoplasms,"0.551 (0.526, 0.57)","0.543 (0.519, 0.564)","-0.007 (-0.024, 0.009)"
Neuro,phecode_329-41,Attention and concentration deficit,"0.677 (0.647, 0.714)","0.67 (0.642, 0.708)","-0.007 (-0.015, 0)"
